assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,0,146,0,0,2,84450,0,0,-4,4,140.4,0,3,0.0,0.0,0,Granit,1.2,18,0,38.3,18,False,187.6,1004,Head injury - Expected back 21 Dec,2019-12-09T22:00:20.814913Z,51,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.6,False,None,i,1,3,54.0,25,31721,6,97857,545,0.2,4.9,Xhaka,4
0,0,126,100,100,1,198849,0,0,-3,3,112.9,0,3,2.1,1.1,2,Lucas,1.6,14,1,42.1,19,False,140.0,713,,2019-09-08T21:00:18.773636Z,47,0,0,0,198849.jpg,1.9,0,0,Torreira,1.2,False,None,a,1,3,167.0,26,62400,476,131241,622,0.3,5.5,Torreira,1
0,0,0,0,0,0,153256,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,20,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.9,False,None,n,1,3,0.0,0,118631,429,92824,1408,0.0,0.0,Elneny,0
2,2,224,None,None,2,242166,0,0,0,0,219.7,0,3,1.7,0.7,2,Matteo,1.2,23,0,64.0,21,False,283.2,1312,,None,45,0,0,0,242166.jpg,2.3,0,0,Guendouzi,7.7,False,None,a,1,3,136.0,37,813210,1847,693139,7383,0.3,8.2,Guendouzi,4
0,3,217,100,100,1,41270,0,0,-2,2,55.5,1,2,0.9,-0.1,0,David,0.4,23,2,53.2,106,False,352.6,1260,,2019-11-28T23:00:21.861570Z,58,0,0,0,41270.jpg,2.5,0,0,Luiz Moreira Marinho,5.0,False,None,a,1,3,123.0,35,150392,577,449500,3360,0.1,6.0,David Luiz,3
0,0,0,None,None,0,98980,0,0,-2,2,0.0,0,1,0.5,-0.5,0,Emiliano,0.0,0,0,0.0,427,False,0.0,0,,None,43,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,None,a,1,3,0.0,0,4487,46,11653,73,0.0,0.0,Martínez,0
0,2,153,None,None,2,101184,0,0,-1,1,92.7,0,2,1.3,0.3,1,Calum,0.8,15,1,51.0,467,False,226.0,990,,None,44,0,0,0,101184.jpg,2.5,0,0,Chambers,1.3,False,None,a,1,3,193.0,30,135824,411,117322,1145,0.2,6.8,Chambers,4
2,3,130,0,0,1,182539,-1,1,-3,3,183.0,1,3,0.0,0.0,0,Daniel,0.0,10,0,42.9,469,False,150.0,659,Hamstring injury - Expected back 26 Dec,2019-11-06T17:30:16.584319Z,52,0,0,0,182539.jpg,2.5,0,0,Ceballos Fernández,3.5,False,None,i,1,3,96.0,27,995106,20,1105378,2607,0.0,5.2,Ceballos,0
3,4,158,100,75,1,195735,0,0,-4,4,317.5,1,3,3.5,1.9,2,Nicolas,3.0,19,2,90.7,488,False,240.4,1006,,2019-12-11T12:30:12.556688Z,91,0,0,0,195735.jpg,3.1,0,0,Pépé,2.2,False,None,a,1,3,346.0,47,212856,1136,426865,1106,0.3,5.2,Pépé,2
0,0,18,100,100,1,200641,0,0,-2,2,51.9,0,3,0.7,-0.3,0,Reiss,0.2,2,0,14.7,489,False,27.4,152,,2019-10-07T15:00:21.389844Z,53,0,0,0,200641.jpg,1.2,0,0,Nelson,0.1,False,None,a,1,3,67.0,6,7669,31,14006,41,0.0,1.1,Nelson,1
0,0,79,100,100,1,200089,0,0,-2,2,96.1,0,3,1.5,0.5,1,Joseph,1.0,9,0,29.1,490,False,75.8,491,,2019-09-07T11:30:17.190466Z,48,0,0,0,200089.jpg,1.4,0,0,Willock,0.2,False,None,a,1,3,118.0,18,23950,49,27986,87,0.2,3.8,Willock,0
1,1,61,None,None,0,444145,0,0,0,0,17.7,0,4,3.5,2.5,2,Gabriel Teodoro,3.0,6,1,20.7,504,False,66.6,276,,None,45,0,0,0,444145.jpg,2.0,0,0,Martinelli Silva,1.8,False,None,a,1,3,123.0,18,189716,6284,155971,1514,0.7,4.0,Martinelli,1
0,0,51,0,0,0,192895,0,0,-1,1,75.1,0,2,0.0,0.0,0,Kieran,0.4,6,0,16.3,515,False,56.0,296,Shoulder injury - Unknown return date,2019-12-09T22:00:21.790216Z,54,0,0,0,192895.jpg,1.0,0,0,Tierney,0.5,False,None,i,1,3,31.0,5,71743,6,94900,2555,0.1,0.9,Tierney,1
1,0,48,100,100,1,223340,0,0,0,0,97.3,0,3,0.9,-0.1,1,Bukayo,0.4,4,0,27.1,541,False,76.2,404,,2019-11-22T10:00:21.980433Z,45,0,0,0,223340.jpg,1.8,0,0,Saka,0.6,False,None,a,1,3,96.0,14,117091,385,80867,1044,0.1,3.1,Saka,1
0,0,5,None,None,0,209289,0,0,0,0,2.3,0,3,1.7,0.7,1,Emile,1.0,0,0,0.6,576,False,3.6,31,,None,45,0,0,0,209289.jpg,1.0,0,0,Smith Rowe,0.0,False,None,a,1,3,0.0,1,7,7,0,0,0.2,0.2,Smith Rowe,0
1,5,102,None,None,0,37339,0,0,-3,3,154.0,0,2,1.2,0.7,0,Ahmed,1.2,15,0,31.4,22,False,133.0,431,,None,42,0,0,0,37339.jpg,1.6,0,0,El Mohamady,1.0,False,None,a,2,7,26.0,13,52981,805,122405,840,0.3,3.1,El Mohamady,0
0,0,0,100,100,0,43252,0,0,-2,2,0.0,0,2,0.0,-0.5,0,James,0.0,0,0,0.0,23,False,0.0,0,,2019-08-08T17:00:13.859858Z,43,0,0,0,43252.jpg,0.0,0,0,Chester,0.1,False,None,a,2,7,0.0,0,1082,37,6564,35,0.0,0.0,Chester,0
0,0,98,None,None,2,47390,0,0,-1,1,28.5,0,2,0.0,-0.5,0,Neil,0.0,12,0,15.6,24,False,99.8,613,,None,44,0,0,0,47390.jpg,2.1,0,0,Taylor,0.2,False,None,a,2,7,27.0,17,18139,54,22337,188,0.0,3.9,Taylor,1
0,0,6,100,100,0,123354,0,0,-1,1,3.1,0,2,0.0,-0.5,0,Kortney,0.0,2,0,2.9,25,False,21.8,90,,2019-08-15T13:00:13.496241Z,44,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,None,a,2,7,4.0,0,773,11,3783,15,0.0,0.0,Hause,1
0,0,10,100,100,0,54764,0,0,-1,1,0.6,0,4,0.2,-0.3,1,Jonathan,0.2,5,0,0.5,26,False,2.2,41,,2019-10-03T12:30:10.314025Z,54,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.1,False,None,a,2,7,2.0,3,3210,29,25876,56,0.0,0.6,Kodjia,0
0,0,13,100,100,0,98770,0,0,-2,2,0.0,0,1,0.0,-0.5,0,Ørjan,0.0,2,0,2.3,27,False,22.8,82,,2019-07-30T15:00:08.973693Z,43,0,0,0,98770.jpg,2.0,0,3,Nyland,0.2,False,None,a,2,7,0.0,2,3783,20,8892,69,0.0,0.5,Nyland,0
2,4,135,75,None,2,85242,0,0,-3,3,164.1,2,3,2.5,2.9,0,Conor,3.4,11,2,47.3,28,False,160.6,578,Knock - 75% chance of playing,2019-12-15T13:00:22.404997Z,57,0,0,0,85242.jpg,3.6,0,0,Hourihane,0.2,False,None,d,2,7,149.0,36,10639,112,19765,364,0.6,6.3,Hourihane,2
4,7,273,100,100,3,114283,0,0,1,-1,481.0,1,3,4.6,4.1,0,Jack,4.6,26,4,125.8,29,False,431.8,1343,,2019-10-26T18:30:22.524063Z,61,0,1,0,114283.jpg,4.4,0,0,Grealish,8.7,False,None,a,2,7,348.0,66,625279,55004,418327,8370,0.8,10.8,Grealish,4
4,0,185,100,100,3,193488,0,0,0,0,283.7,0,3,3.2,2.7,2,Anwar,3.2,20,3,94.7,30,False,281.0,1021,,2019-12-01T18:30:17.584307Z,55,0,0,0,193488.jpg,3.7,0,0,El Ghazi,1.2,False,None,a,2,7,384.0,56,203716,3371,158852,1321,0.6,10.2,El Ghazi,1
2,4,250,None,None,3,122806,-1,1,2,-2,374.2,0,3,2.0,1.5,2,John,2.0,30,3,113.5,31,False,386.4,1530,,None,57,0,0,0,122806.jpg,3.5,0,0,McGinn,8.6,False,None,a,2,7,375.0,60,1265909,4746,893913,11015,0.4,10.5,McGinn,2
